Paper title,Year,Venue or preprint status,Link,Code / project page if available,Core problem,Input assumptions,Representation used,Whether it uses 3DGS / 2DGS / surface Gaussians / SDF / mesh / neural field / hybrid representation,Whether it handles specular reflection,Whether it handles mirror-like reflection,Whether it handles near-field reflection,Whether it handles inter-reflection,Whether it outputs mesh,Whether it outputs UV texture maps,Whether it outputs PBR material maps,Whether it supports relighting,Whether it supports material editing,Geometry supervision,Normal estimation strategy,Material decomposition strategy,Rendering model,Main loss functions,Datasets,Metrics,Strengths,Limitations explicitly stated by the authors,Limitations inferred by you,Key evidence: section / page / figure / equation reference
Geometry Field Splatting with Gaussian Surfels,2025,CVPR,https://openaccess.thecvf.com/content/CVPR2025/html/Jiang_Geometry_Field_Splatting_with_Gaussian_Surfels_CVPR_2025_paper.html,,Surface reconstruction with Gaussian surfels.,Posed RGB; opaque-surface assumption.,Gaussian surfels and geometry field.,Surface Gaussians / surfels,Targets specular via reflection-vector latent representation,No,No,No,Yes,No,No,No,No,RGB plus geometric consistency.,Surfel normals and depth-normal consistency.,None,Surfel splatting with continuous color.,"RGB, depth distortion, depth-normal consistency.",DTU and surface benchmarks.,PSNR/SSIM/LPIPS and/or geometry metrics,Strong surface representation.,Assumes opaque surfaces; transparent/fuzzy objects limited.,Mirror-like radiance violates opaque local-surface color assumptions.,Local PDF; CVF abstract and limitation discussion.
GeoSplatting: Towards Geometry Guided Gaussian Splatting for Physically-based Inverse Rendering,2025,ICCV,https://arxiv.org/abs/2410.24204,https://pku-vcl-geometry.github.io/GeoSplatting/,Geometry-guided GS inverse rendering.,Posed RGB and optimizable mesh.,Mesh-grounded 3DGS with BRDF and lighting.,Hybrid mesh + 3DGS,Yes,No mirror-specific,Occlusion-aware only,Partial indirect/occlusion,Yes/guided mesh,No,BRDF/material attributes,Yes,Yes,Opaque mesh surface and ray-tracing guidance.,Mesh normals replace noisy Gaussian normals.,BRDF/environment decomposition.,Differentiable PBR with mesh-based ray tracing.,"RGB, BRDF, normal, light, smoothness.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Directly addresses normal and occlusion weakness.,Depends on mesh quality and opaque surface.,Hard mirror/near-field reflections need explicit reflection-field constraints.,Local PDF abstract; project page.
GlossyGS: Inverse Rendering of Glossy Objects with 3D Gaussian Splatting,2024,arXiv preprint,https://arxiv.org/abs/2410.13349,,Geometry/material reconstruction for glossy objects.,Posed glossy object captures.,Hybrid explicit/implicit GS with material priors.,3DGS / hybrid,Yes,Glossy partial,No explicit,No explicit,Geometry output likely,No,Material attributes,Yes,Potential,Material priors and microfacet segmentation prior.,Normal-map prefiltering and GS normals.,Microfacet/material priors.,3DGS inverse rendering.,"RGB, material prior, normal/geometric regularizers.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Directly targets glossy inverse rendering.,Prior-dependent ambiguity reduction.,No near-field/inter-reflection or UV-ready asset guarantee.,Local PDF abstract; arXiv abstract.
GS-2DGS: Geometrically Supervised 2DGS for Reflective Object Reconstruction,2025,arXiv preprint,local PDF,,Reflective object reconstruction using supervised 2DGS geometry.,Posed RGB plus geometry supervision/priors.,2DGS with geometric supervision.,2DGS / surface Gaussians,Yes,Partial,No explicit,No explicit,Yes,No,No,No,No,External or inferred geometric supervision.,2D disk normals with depth/normal losses.,None,2DGS rasterization.,"RGB, geometry, normal/depth losses.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Combines reflective target with surface primitive.,Requires reliable geometric supervision.,PBR/UV mapping and near-field reflection remain open.,Local PDF title/abstract.
GS-2M: Gaussian Splatting for Joint Mesh Reconstruction and Material Decomposition,2026,CGF / Eurographics-related preprint,https://arxiv.org/abs/2509.22276,,Joint mesh reconstruction and material decomposition.,Posed RGB object/scene captures.,3DGS with material-aware mesh reconstruction.,3DGS + mesh + material,Yes,Glossy partial,No explicit,No explicit,Yes,Unclear,Material attributes/maps,Potential,Potential,Material-aware geometry constraints.,Surface/Gaussian normals.,Roughness/albedo/material optimization.,Gaussian rendering with material model.,"RGB, material, geometry, smoothness.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Very close to desired joint mesh+material route.,Roughness supervision is indirect.,Near-field/mirror inter-reflection and explicit UV output remain uncertain.,Local PDF; arXiv abstract.
GS2Mesh: Surface Reconstruction from Gaussian Splatting via Novel Stereo Views,2024,ECCV,https://arxiv.org/abs/2404.01810,https://gs2mesh.github.io/,Recover mesh from 3DGS-rendered stereo.,Trained 3DGS and pretrained stereo depth.,3DGS plus stereo depth and TSDF.,3DGS + external stereo + mesh,No,No,No,No,Yes,No,No,No,No,Stereo depth from novel rendered pairs.,Normals from fused depth/mesh.,None,"Render stereo pairs, estimate depth, TSDF fuse.",No direct material loss; stereo/depth fusion.,"DTU, Tanks and Temples, in-the-wild.",PSNR/SSIM/LPIPS and/or geometry metrics,Avoids direct noisy Gaussian geometry.,Inherits stereo-model bias.,Specular correspondence violates stereo assumptions.,Local PDF; project abstract.
PolGS: Polarimetric Gaussian Splatting for Fast Reflective Surface Reconstruction,2025,ICCV / arXiv,https://arxiv.org/abs/2509.19726,,Reflective surface reconstruction with polarization.,Multi-view polarized images and poses.,3DGS with polarimetric constraints.,3DGS + polarization,Yes,Reflective partial,No,No,Surface/depth likely,No,No,No,No,Polarization image formation and multiview constraints.,Polarization-derived normals with ambiguity handling.,"Diffuse/specular separation cues, not PBR maps.",Gaussian rasterization with polarimetric supervision.,"RGB/polarization consistency, geometry/normal losses.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Adds physical signal for reflective surfaces.,Requires polarization hardware/data.,Not RGB-only and not UV/PBR asset focused.,Local PDF; arXiv abstract.
PolGS++: Physically-Guided Polarimetric Gaussian Splatting for Fast Reflective Surface Reconstruction,2026,preprint / manuscript,local PDF,,Physically guided polarimetric reflective reconstruction.,Polarized multi-view images.,3DGS plus physical polarimetric model.,3DGS + polarization,Yes,Reflective partial,No,No,Surface/depth likely,No,No,No,No,Physically guided polarization constraints.,Polarization-derived normals.,Diffuse/specular cues.,Gaussian rasterization and polarization model.,"RGB, polarization, normal losses.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Stronger physics than RGB-only.,Specialized capture.,Cannot address ordinary RGB capture and UV baking alone.,Local PDF abstract.
IRGS: Inter-Reflective Gaussian Splatting with 2D Gaussian Ray Tracing,2025,arXiv preprint,local PDF,,Inter-reflective GS with ray tracing.,Posed RGB inter-reflective scenes.,2D Gaussians with ray tracing.,2DGS + ray tracing,Yes,Partial,Yes if traced paths include local surfaces,Yes,Possibly via 2DGS,No,Material attributes maybe,Yes/limited,No,2DGS surface and traced reflection constraints.,2DGS normals.,Material-aware reflection decomposition.,2D Gaussian ray tracing plus rasterization.,"RGB, reflection/ray consistency, geometry losses.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Directly targets inter-reflection.,Ray tracing cost/approximations.,UV/PBR baking and stable optimization remain open.,Local PDF abstract/Sec. 3.
Neural Point Catacaustics for Novel-View Synthesis of Reflections,2022,SIGGRAPH Asia / TOG,https://arxiv.org/abs/2301.01087,https://repo-sam.inria.fr/fungraph/neural_catacaustics/,NVS of curved reflections.,Multiview images and reflector annotation/assumptions.,Point cloud plus neural catacaustic/reflection flow.,Neural point / reflection field,Yes,Yes for curved reflectors,Yes,No full multi-bounce,No,No,No,No,Reflection editing/cloning,Catacaustic/reflection-flow constraints.,"Reflection geometry, not full normal maps.",None,Neural point rendering with reflection flow.,Photometric and flow consistency.,Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Models reflection paths instead of baking colors.,Needs reflector annotation; not full material recovery.,No mesh/UV/PBR reconstruction.,Local PDF; project page.
MaterialRefGS: Reflective Gaussian Splatting with Multi-view Consistent Material Inference,2025,NeurIPS 2025 / preprint,https://yushen-liu.github.io/main/pdf/LiuYS_NeurIPS25_MaterialRefGS.pdf,,Reflective GS with multi-view material inference.,Posed RGB reflective scenes.,GS with material attributes.,GS + material,Yes,Glossy/mirror partial,Potentially,Limited,Not primary,No,PBR-related attributes,Yes,Yes,Multi-view material consistency.,Gaussian/surface normals.,Multi-view consistent material inference.,PBR-inspired GS rendering.,"RGB, material consistency, normal/geometry.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Links reflective GS to material inference.,Publication details should be checked from final PDF.,No UV material baking and limited near-field inter-reflection.,Local PDF and linked PDF.
MILo: Mesh-In-the-Loop Gaussian Splatting for Detailed and Efficient Surface Reconstruction,2025,TOG / SIGGRAPH Asia preprint,https://arxiv.org/abs/2506.24096,,Differentiable mesh extraction during GS training.,Posed RGB.,3DGS plus per-iteration mesh.,3DGS + mesh,No,No,No,No,Yes,No,No,No,No,Bidirectional Gaussian-mesh consistency.,Mesh normals and Gaussian geometry.,None,Gaussian rendering with mesh consistency.,"RGB, Gaussian-mesh consistency, SDF/geometry.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Produces lightweight complete meshes.,Complex differentiable connectivity.,No reflective material separation.,Local PDF; arXiv abstract.
PGSR: Planar-based Gaussian Splatting for Efficient and High-Fidelity Surface Reconstruction,2024,TVCG / arXiv,https://arxiv.org/abs/2406.06521,https://zju3dv.github.io/pgsr/,Planar GS for surface reconstruction.,Posed RGB; exposure variations.,Planar Gaussian splats.,Surface Gaussians,No,No,No,No,Yes,No,No,No,No,Single-view and multi-view geometric regularization.,Unbiased depth and normal maps.,None,Planar Gaussian rasterization.,"Photometric, geometry consistency, exposure compensation.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Efficient high-fidelity surfaces.,Not material/reflection-aware.,Reflection radiance remains entangled with geometry.,Local PDF; project abstract.
Reflective Gaussian Splatting,2025,ICLR,https://arxiv.org/abs/2412.19282,,Reflective object reconstruction with inter-reflection.,Posed RGB reflective objects.,2DGS plus material-aware deferred PBR and inter-reflection.,2DGS + PBR + reflection,Yes,Reflective/mirror partial,Indirect near-field partial,Yes,Surface possible,No,Material attributes,Yes,Yes,2DGS/surface geometry and material constraints.,Surface/2DGS normals.,Pixel/material property inference.,Deferred PBR with split-sum and Gaussian-grounded inter-reflection.,"RGB, material, geometry, inter-reflection.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Closest reflective GS route.,Approximate inter-reflection; depends on normals/materials.,Does not target mesh plus UV PBR texture baking as final asset.,Local PDF; arXiv abstract.
SOF: Sorted Opacity Fields for Fast Unbounded Surface Reconstruction,2025,TOG / preprint,local PDF,,Fast surface reconstruction from sorted opacity fields.,Optimized GS-like opacity field.,Sorted opacity field.,3DGS/opacity field/mesh,No,No,No,No,Yes,No,No,No,No,Opacity sorting and geometry regularization.,Opacity-field normals/depth.,None,Opacity-field rendering/extraction.,RGB reconstruction plus regularization,Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Fast unbounded reconstruction.,Not inverse rendering/material-aware.,Reflective objects can induce wrong opacity surfaces.,Local PDF abstract.
SSD-GS: Scattering and Shadow Decomposition for Relightable 3D Gaussian Splatting,2025,ICLR / preprint,local PDF,,Relightable GS via scattering/shadow decomposition.,Posed RGB and lighting assumptions.,3DGS with scattering/shadow factors.,3DGS + relighting,Partial,No,No,Shadow/indirect effects,No,No,No,Yes,Maybe,Photometric multiview supervision,Not central or derived from geometry,Scattering and shadow decomposition.,Relightable Gaussian rendering.,"RGB, decomposition, relighting consistency.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Addresses relighting factors.,See paper limitation/discussion where available,No mirror/near-field reflection or mesh/UV output.,Local PDF abstract.
SuGaR: Surface-Aligned Gaussian Splatting for Efficient 3D Mesh Reconstruction and High-Quality Mesh Rendering,2024,CVPR,https://openaccess.thecvf.com/content/CVPR2024/papers/Guedon_SuGaR_Surface-Aligned_Gaussian_Splatting_for_Efficient_3D_Mesh_Reconstruction_and_CVPR_2024_paper.pdf,https://anttwo.github.io/sugar/,Efficient mesh extraction from 3DGS.,Posed RGB or trained 3DGS.,Surface-aligned Gaussians and mesh.,3DGS + mesh,No,No,No,No,Yes,No,No,Limited by mesh-bound Gaussians,"Yes, geometric/animation editing",Surface-alignment regularization.,Shortest-axis/surface-aligned normals.,None,3DGS and mesh-bound rendering.,Photometric plus density/surface regularization.,"Mip-NeRF360, Tanks and Temples, DTU-like.",PSNR/SSIM/LPIPS and/or geometry metrics,Seminal GS-to-mesh route.,Mesh tied to Gaussian alignment.,Reflective color blobs can align to apparent reflected content.,Local PDF; CVPR Fig. 2-3.
SpecTRe-GS: Modeling Highly Specular Surfaces with Reflected Nearby Objects by Tracing Rays in 3D Gaussian Splatting,2026,arXiv preprint,local PDF,,Highly specular surfaces with reflected nearby objects.,Posed RGB with local reflected objects.,3DGS with traced reflection rays.,3DGS + ray tracing,Yes,Mirror-like/specular,Yes,Single-bounce likely,Geometry/depth likely,No,No,Maybe,No,Ray-traced reflection constraints.,Normals for reflection rays.,Reflection separation rather than UV PBR.,3DGS plus traced reflection rendering.,"RGB, reflection ray consistency, geometry losses.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Directly targets near-field reflected objects.,Ray tracing cost and normal dependence.,No full UV/PBR asset or multi-bounce guarantee.,Local PDF title/abstract.
RefGaussian: Disentangling Reflections from 3D Gaussian Splatting for Realistic Rendering,2024,arXiv preprint,local PDF,,Disentangle reflections in 3DGS rendering.,Posed RGB reflective scenes.,3DGS with reflection separation branch.,3DGS,Yes,Partial,No explicit,No,No,No,No,No,No,Photometric multiview supervision,Not central or derived from geometry,Reflection-separated appearance.,3DGS rasterization with reflection branch.,RGB and disentanglement losses.,Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Addresses reflection entanglement for rendering.,Preprint details need exact arXiv verification.,No mesh/UV/PBR output.,Local PDF.
Ref-GS: Directional Factorization for 2D Gaussian Splatting,2025,arXiv preprint,local PDF,,Directional factorization for 2DGS view dependence.,Posed RGB.,2DGS with directional appearance factorization.,2DGS,Yes appearance-level,Partial,No,No,Surface possible,No,No,No,No,Photometric multiview supervision,Not central or derived from geometry,Directional radiance factorization.,2DGS rasterization.,"RGB, directional, geometry losses.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Improves view-dependent effects on surface splats.,See paper limitation/discussion where available,Directional appearance alone cannot infer PBR maps or near-field reflection.,Local PDF abstract.
MGSR: 2D/3D Mutual-boosted Gaussian Splatting for High-fidelity Surface Reconstruction under Various Light Conditions,2025,arXiv preprint,local PDF,,Surface reconstruction under varied lighting.,Posed RGB under light variation.,Mutual-boosted 2D and 3D Gaussians.,Hybrid 2DGS + 3DGS,"Lighting variation, not specular-specific",No,No,No,Yes,No,No,No,No,2D/3D mutual geometric constraints.,2DGS/surface normals.,None,Hybrid Gaussian rendering.,RGB and mutual geometry/normal regularizers.,Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Combines 2D surface accuracy and 3D appearance.,See paper limitation/discussion where available,Reflective variation can still be mistaken for geometry/material.,Local PDF abstract.
3D Gaussian Splatting for Real-Time Radiance Field Rendering,2023,SIGGRAPH / TOG,https://repo-sam.inria.fr/fungraph/3d-gaussian-splatting/,https://github.com/graphdeco-inria/gaussian-splatting,Real-time radiance-field rendering.,Posed RGB and SfM points.,Anisotropic 3D Gaussians with SH color.,3DGS,Only view-dependent color,No,No,No,No,No,No,No,No,Photometric densification/pruning.,No explicit surface normals.,None,Tile-based differentiable Gaussian rasterization.,L1/SSIM photometric.,"Mip-NeRF360, Tanks and Temples, Deep Blending.",PSNR/SSIM/LPIPS and/or geometry metrics,Speed/quality baseline.,Not designed for accurate surface/material recovery.,Geometry and view-dependent appearance are entangled.,Original paper Sec. 3; project page.
Ref-NeRF: Structured View-Dependent Appearance for Neural Radiance Fields,2022,CVPR,https://openaccess.thecvf.com/content/CVPR2022/html/Verbin_Ref-NeRF_Structured_View-Dependent_Appearance_for_Neural_Radiance_Fields_CVPR_2022_paper.html,https://dorverbin.github.io/refnerf/,Glossy NeRF view synthesis.,Posed RGB.,NeRF with reflection-direction encoding.,Neural field,Yes,"Glossy, not mirror reconstruction",No,No,No,No,No,No,No,Volumetric photometric training.,Density-field normals with orientation regularization.,None,Volumetric rendering with reflected-direction parameterization.,Photometric and normal/orientation regularizers.,Shiny Blender and real captures.,PSNR/SSIM/LPIPS and/or geometry metrics,Reflection direction is an effective view-dependence coordinate.,NeRF is slow and not an asset/PBR output.,No mesh/UV/PBR final asset.,CVPR Sec. 3; Fig. 2.
NeRO: Neural Geometry and BRDF Reconstruction of Reflective Objects from Multiview Images,2023,SIGGRAPH / TOG,https://arxiv.org/abs/2305.17398,https://liuyuan-pal.github.io/NeRO/,Reflective object geometry and BRDF recovery.,Posed RGB object images.,Neural SDF with BRDF and environment light.,SDF / neural field,Yes,Reflective/mirror partial,Indirect lighting considered,Approximate,Yes via SDF,No,BRDF fields,Yes,Yes,SDF photometric/geometric constraints.,SDF gradients.,BRDF and environment recovery.,Split-sum approximation with direct/indirect light.,"Photometric, Eikonal, BRDF/light regularization.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Strong non-GS reflective inverse-rendering baseline.,Two-stage/slower neural pipeline.,No fast GS or UV baking emphasis.,SIGGRAPH abstract; project pipeline.
GS-IR: 3D Gaussian Splatting for Inverse Rendering,2024,CVPR,https://arxiv.org/abs/2311.16473,https://github.com/lzhnb/GS-IR,3DGS inverse rendering and relighting.,Posed RGB.,"3DGS with normals, material, environment, baked occlusion.",3DGS + PBR,Yes,No mirror-specific,No,Approximate occlusion/indirect,No,No,PBR-like attributes,Yes,Yes,Depth-derived normal and occlusion regularization.,Depth-derived normals.,BRDF/material and environment estimation.,Forward splatting with PBR and baked occlusion.,"RGB, material smoothness, normal, illumination.","TensoIR Synthetic, Mip-NeRF360.",PSNR/SSIM/LPIPS and/or geometry metrics,Seminal GS inverse-rendering baseline.,Normals and occlusion are approximations.,Highly reflective geometry remains fragile because normals are not true surface normals.,CVPR abstract; Sec. 3.2-3.3.
GaussianShader: 3D Gaussian Splatting with Shading Functions for Reflective Surfaces,2024,CVPR,https://openaccess.thecvf.com/content/CVPR2024/html/Jiang_GaussianShader_3D_Gaussian_Splatting_with_Shading_Functions_for_Reflective_Surfaces_CVPR_2024_paper.html,https://github.com/Asparagus15/GaussianShader,Reflective-surface rendering in 3DGS.,Posed RGB.,3DGS with normals and simplified shading.,3DGS + shading,Yes,Glossy,No,No,No,No,No,No,No,Normal/geometry regularization.,Shortest-axis Gaussian normals.,"Simplified shading, not full PBR.",Gaussian rasterization plus shading function.,"RGB, normal consistency, shading losses.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Explicit reflective 3DGS rendering.,No mesh/material output.,Rendering quality can improve while asset reconstruction remains unresolved.,CVPR abstract; Sec. 3.
Spec-Gaussian: Anisotropic View-Dependent Appearance for 3D Gaussian Splatting,2024,NeurIPS,https://arxiv.org/abs/2402.15870,,High-frequency anisotropic view-dependent appearance.,Posed RGB.,3DGS with anisotropic spherical Gaussian appearance.,3DGS,Yes appearance-level,Glossy,No,No,No,No,No,No,No,Photometric multiview supervision,Not central or derived from geometry,None; appearance field.,Gaussian rasterization with ASG appearance.,RGB and appearance regularizers.,Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Captures specular appearance better than SH.,Appearance-focused.,Can hide geometry errors behind expressive view dependence.,arXiv abstract; NeurIPS paper.
MirrorGaussian: Reflecting 3D Gaussians for Reconstructing Mirror Reflections,2024,ECCV,https://arxiv.org/abs/2405.11921,https://mirror-gaussian.github.io,Mirror-scene reconstruction and editing.,Posed RGB with planar mirror.,Real-space and reflected virtual Gaussians.,3DGS + mirror transform,Yes,Yes planar,Yes via virtual objects,Single-bounce mirror,No,No,No,No,Yes,Mirror plane and dual-space constraints.,Mirror plane geometry.,None,Dual rendering of real and mirrored Gaussian spaces.,Photometric plus mirror consistency.,Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Strong planar mirror treatment.,Assumes planar mirror symmetry.,Not for curved reflective object material maps.,ECCV abstract; project Fig. 2.
